ID,Headword,Language_ID,Part_Of_Speech,Description,URN,Source
urn-nabu-dict-wiktionary-akk-Tukult-apil-E-ar-name,Tukultī-apil-Ešar,akk,name,alternative form of Tukultī-apil-Ešarra,urn:nabu:dict:wiktionary-akk:Tukultī-apil-Ešar:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Tukult-apil-E-arra-name,Tukultī-apil-Ešarra,akk,name,"a male given name: Tiglath-pileser III, king of the Neo-Assyrian Empire",urn:nabu:dict:wiktionary-akk:Tukultī-apil-Ešarra:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Ugarit-name,Ugarit,akk,name,"Ugarit (an ancient port city in northern Syria, discovered by accident in 1928 together with the Ugaritic texts)",urn:nabu:dict:wiktionary-akk:Ugarit:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Urar-u-name,Urarṭu,akk,name,Urartu (a country north of Assyria occupying the mountainous area around Lake Van and enemy of Assyria in the first millennium BCE),urn:nabu:dict:wiktionary-akk:Urarṭu:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Ura-u-name,Urašṭu,akk,name,alternative form of Urarṭu,urn:nabu:dict:wiktionary-akk:Urašṭu:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Uru-alim-name,Urušalim,akk,name,Jerusalem,urn:nabu:dict:wiktionary-akk:Urušalim:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Utnapi-tim-name,Utnapištim,akk,name,"Utnapishtim (last antediluvian king of Šuruppak, hero of the Mesopotamian flood story, corresponding to Biblical Noah)",urn:nabu:dict:wiktionary-akk:Utnapištim:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Yaman-ya-name,Yamanāya,akk,name,Ionian,urn:nabu:dict:wiktionary-akk:Yamanāya:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Yaru-u-name,Yaru'u,akk,name,the Nile river,urn:nabu:dict:wiktionary-akk:Yaru'u:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Yaua-name,Yaua,akk,name,a male given name Jehu,urn:nabu:dict:wiktionary-akk:Yaua:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Yaudu-name,Yaudu,akk,name,"Judah, an Iron Age tribal grouping, and later kingdom, of Northwest Semites",urn:nabu:dict:wiktionary-akk:Yaudu:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Yaud-ya-name,Yaudāya,akk,name,"Judean, of Judah, an Iron Age tribal grouping, and later kingdom, of Northwest Semites",urn:nabu:dict:wiktionary-akk:Yaudāya:name,wiktionary-akk
