ID,Description,IDS,Source
g-ce0b8fb24daa,木＋戈,⿰木戈,aozora
g-316c05e19710,木＋旃,⿰木旃,aozora
g-a7969ee96808,木＋窄,⿰木窄,aozora
g-81193a374d91,木＋草,⿰木草,aozora
g-eb4ac9f37db7,木＋覧,⿰木覧,aozora
g-20398e47e7d1,木＋霊,⿰木霊,aozora
g-869160257fea,木／喬,⿱木喬,aozora
g-e5e46307772c,此／目,⿱此目,aozora
g-19942d566db7,歹＋勿,⿰歹勿,aozora
g-1fd6db9e5878,殼／心,⿱殼心,aozora
g-0b4a1d80f8c4,殿／土,⿱殿土,aozora
g-e6ded8c7f38b,火＋單,⿰火單,aozora
g-c623dffce98d,火＋房,⿰火房,aozora
g-247f15ef4373,火＋斤,⿰火斤,aozora
g-617acf03d571,火＋發,⿰火發,aozora
g-a3f22fc94f06,片＋怱,⿰片怱,aozora
g-98604b02d796,牛＋子,⿰牛子,aozora
g-24fc193ce33e,王＋且,⿰王且,aozora
g-6f0109d99a0a,王＋倉,⿰王倉,aozora
g-2529499e6791,王＋它,⿰王它,aozora
g-f9e551ed754d,王＋昌,⿰王昌,aozora
g-f72a40e05c26,王＋牙,⿰王牙,aozora
g-cdd121b9ff60,王＋田,⿰王田,aozora
g-f742a7560633,王＋累,⿰王累,aozora
g-a14a97f3f600,甘＋舌,⿰甘舌,aozora
g-36df5cc14560,田＋鹿,⿰田鹿,aozora
g-d600eb0b2152,白＋光,⿰白光,aozora
g-3be3d8e4e62a,白＋斗,⿰白斗,aozora
g-14795f0a9541,白＋番,⿰白番,aozora
g-45ca53e919b0,目＋丑,⿰目丑,aozora
g-cc002ad47137,目＋乏,⿰目乏,aozora
g-5e72a3b89d4a,目＋夢,⿰目夢,aozora
g-7a496c5b00bf,目＋宗,⿰目宗,aozora
g-9667e1564196,目＋帝,⿰目帝,aozora
g-3fba0509abf6,目＋末,⿰目末,aozora
g-761651fe0edb,目＋炎,⿰目炎,aozora
g-824e447129c4,目＋盧,⿰目盧,aozora
g-f02cec144560,矛＋贊,⿰矛贊,aozora
g-8dd138078392,知／久,⿱知久,aozora
g-a7fdd1052f35,知／寸,⿱知寸,aozora
g-6096c648353b,石＋可,⿰石可,aozora
g-4ee540c04dbc,石＋囘,⿰石囘,aozora
g-acd78f9561bf,石＋昔,⿰石昔,aozora
g-f6b9c165ca0d,石＋柬,⿰石柬,aozora
g-5baa07271da3,石＋雷,⿰石雷,aozora
g-da4316e09f64,石＋龍,⿰石龍,aozora
g-037933a7710e,示＋勺,⿰示勺,aozora
g-f7f3d1b24972,示＋氏,⿰示氏,aozora
g-f0189bd89066,穴／宇,⿱穴宇,aozora
g-331298d3ee87,竹／彗,⿱竹彗,aozora
g-4a6f6ccde206,米＋屑,⿰米屑,aozora
g-38772718ddad,糸＋原,⿰糸原,aozora
g-fb1e42f2facb,糸＋取,⿰糸取,aozora
g-3280f624ba42,糸＋寄,⿰糸寄,aozora
g-90a2154cd3b0,糸＋察,⿰糸察,aozora
g-45a0c216b9ee,糸＋尭,⿰糸尭,aozora
g-84a744b5ac35,糸＋弗,⿰糸弗,aozora
g-a0ce272e9123,糸＋彌,⿰糸彌,aozora
g-86236b4da202,糸＋戊,⿰糸戊,aozora
g-60390eef180c,糸＋熏,⿰糸熏,aozora
g-cbcaf19f1bad,糸＋率,⿰糸率,aozora
g-4e702ccafd73,糸＋肅,⿰糸肅,aozora
g-3ddfbc58a27b,糸＋至,⿰糸至,aozora
g-73a3fd352f43,糸＋貴,⿰糸貴,aozora
g-845bbb7bc310,缶＋卩,⿰缶卩,aozora
g-5ece153ee169,网／卯,⿱网卯,aozora
g-5cd16e5401b4,老／子,⿱老子,aozora
g-a530274c466a,耳＋吾,⿰耳吾,aozora
g-c78f92a30315,臼／勿,⿱臼勿,aozora
g-bf78c442ea16,舟＋夾,⿰舟夾,aozora
g-a7c1bbe51f65,舟＋巨,⿰舟巨,aozora
g-fe5d9bf47877,舟＋覧,⿰舟覧,aozora
g-b5c52e76e093,舟＋走,⿰舟走,aozora
g-4764b8f6956c,茲／瓦,⿱茲瓦,aozora
g-cff1932e7f12,菲／一,⿱菲一,aozora
g-ec8814acef53,虫＋元,⿰虫元,aozora
g-a4533a028664,虫＋其,⿰虫其,aozora
g-6345074b3105,虫＋孟,⿰虫孟,aozora
g-bbd7c6e91183,虫＋廷,⿰虫廷,aozora
g-537f3efeb11e,虫＋息,⿰虫息,aozora
g-701e4e75f71e,虫＋恵,⿰虫恵,aozora
g-0f4b1fe99e60,虫＋慈,⿰虫慈,aozora
g-44eedf251bb7,虫＋慮,⿰虫慮,aozora
g-a880cba4714c,虫＋或,⿰虫或,aozora
g-6c8979442adc,虫＋條,⿰虫條,aozora
g-bd9ae44d7a13,虫＋田,⿰虫田,aozora
g-57ce05b1ab0f,虫＋糸,⿰虫糸,aozora
g-80122f1774fd,虫＋羸,⿰虫羸,aozora
g-ce8634601a7d,虫＋豈,⿰虫豈,aozora
g-cea7309d0a2c,血＋卜,⿰血卜,aozora
g-8e102a5f3035,衣＋農,⿰衣農,aozora
g-6e2e021afd10,言＋叟,⿰言叟,aozora
g-80aa6fb4c8bd,言＋委,⿰言委,aozora
g-6ef5c4dc3087,言＋皮,⿰言皮,aozora
g-de321213b343,言＋票,⿰言票,aozora
g-d2ed08b80d18,討／貝,⿱討貝,aozora
g-9e05d9431869,讀＋言,⿰讀言,aozora
g-4d6af2f77a95,豈＋風,⿰豈風,aozora
g-a90456c3e27e,豊＋弟,⿰豊弟,aozora
g-bd0395243c48,豕＋巴,⿰豕巴,aozora
g-26cb87010e93,豕＋賁,⿰豕賁,aozora
g-b00009b38931,貝＋兄,⿰貝兄,aozora
g-57f7ed0ed310,貝＋冒,⿰貝冒,aozora
g-914c3c38f8fc,貝＋藏,⿰貝藏,aozora
g-009034eb9dcf,走＋喬,⿰走喬,aozora
g-d9cf2526d432,走＋尓,⿰走尓,aozora
g-d46a91a064d8,足＋勺,⿰足勺,aozora
g-fbd01cd79c54,足＋占,⿰足占,aozora
g-1b28be75e55c,身＋冉,⿰身冉,aozora
g-a7c8aed6acbe,身＋応,⿰身応,aozora
g-7b0730b537ff,車＋令,⿰車令,aozora
g-22742eda25bd,車＋兀,⿰車兀,aozora
g-4831efbc8432,車＋全,⿰車全,aozora
g-554374c0a649,車＋般,⿰車般,aozora
g-2bb2d064d10e,辟／鳥,⿱辟鳥,aozora
g-0c5c7a99fffd,酉＋嚴,⿰酉嚴,aozora
g-171fcd445670,酉＋票,⿰酉票,aozora
g-db3e320c974b,酉＋靈,⿰酉靈,aozora
g-816c25c66eab,金＋乏,⿰金乏,aozora
g-9434a7dabb31,金＋夫,⿰金夫,aozora
g-f2a123944e75,金＋志,⿰金志,aozora
g-0e2379061af5,金＋截,⿰金截,aozora
g-b7b90c383ab2,金＋支,⿰金支,aozora
g-715ca2ba0826,金＋柔,⿰金柔,aozora
g-fe445696849d,金＋表,⿰金表,aozora
g-2dc3a1b39003,金＋質,⿰金質,aozora
g-c223b5bba385,阿／女,⿱阿女,aozora
g-354ebe7e2ad1,革＋室,⿰革室,aozora
g-05a6fd1c60a6,革＋巴,⿰革巴,aozora
g-1298631d486a,革＋建,⿰革建,aozora
g-5e2e06d92ebc,革＋引,⿰革引,aozora
g-2f04aff7ce0a,革＋背,⿰革背,aozora
g-121cea266924,馬＋來,⿰馬來,aozora
g-d1b654d8520c,馬＋勺,⿰馬勺,aozora
g-368bf7445253,馬＋央,⿰馬央,aozora
g-86a783cea00b,馬＋干,⿰馬干,aozora
g-cc68fb83a766,馬＋戎,⿰馬戎,aozora
g-e0e292f35b42,馬＋畢,⿰馬畢,aozora
g-66d8bd3e8e50,馬／廾,⿱馬廾,aozora
g-792018232822,髟＋坐,⿰髟坐,aozora
g-0e325d30575c,髟／丐,⿱髟丐,aozora
g-1529334b7293,髟／再,⿱髟再,aozora
g-6d6069f9901b,髟／胡,⿱髟胡,aozora
g-fbb62cbcc055,魚＋才,⿰魚才,aozora
g-ae6ae250f8ab,魚＋昜,⿰魚昜,aozora
g-863c39065907,魚＋節,⿰魚節,aozora
g-4ca69dd33d29,魚＋豕,⿰魚豕,aozora
g-e07cbf6bfb9c,鹵＋差,⿰鹵差,aozora
g-e477adabc67f,鹿＋鳥,⿰鹿鳥,aozora
g-8de4dbb07ab6,鹿／几,⿱鹿几,aozora
g-72764a77578f,鼓／兆,⿱鼓兆,aozora
g-52ac93f02a16,鼠＋占,⿰鼠占,aozora
g-3735ac0a992b,齒＋兒,⿰齒兒,aozora
