ID,Codepoint,Glyph,Gardiner,UniK,Core,Description,Functions,Values,JSesh,Hieroglyphica,IFAO,Source
U1372F,U+1372F,𓜯,B-07-007,HJ B043,C,"Woman, standing, wearing the white crown (S1), right arm forward, hand at the height of the waist, holding a stem of papyrus with a bud (M131) or flower, of the size of the woman, vertically, left arm hanging beside the body, holding a tie or strap, used with sandals (ankh sign, S34), at the loop.",Logogram (king of Upper Egypt),n.y-sw.t,B43,B43,"53,5",unikemet
U13730,U+13730,𓜰,B-07-009,HJ B081,C,"Woman, standing, wearing the red crown (S3), arms hanging at either side of the body.",Phonemogram,b,B81,B81,,unikemet
U13731,U+13731,𓜱,B-07-011,B045D,C,"Woman, standing, with long hair, both arms forward, hands at the height of the shoulder, holding a plan of a crossroads in a village (O49).",,,,,,unikemet
U13732,U+13732,𓜲,B-08-001,HJ B045,C,"Woman, standing, with long hair, both arms forward, hands at the height of the shoulder, holding a tambourine.",Logogram (rejoicing),nhm,B45,B45,"53,7",unikemet
U13733,U+13733,𓜳,B-08-002,HJ B045B,C,"Woman, standing, with long hair, both arms forward, hands at the height of the shoulder, with a circle (tambourine?) floating above the hands.",Classifier (to rejoice),nhm,B45B,B45B,,unikemet
U13734,U+13734,𓜴,B-08-003,HJ B045A,C,"Woman, seated, both knees down, with long hair, both arms forward, holding a tambourine.",Classifier jubilation,sꜣ-tꜣ,B45A,B45A,"53,8",unikemet
U13735,U+13735,𓜵,B-08-006,HJ B057,C,"Woman, seated, both knees down, wearing a diadem, right arm extended forward, held horizontally, holding a tie or strap, used with sandals (ankh sign, S34) vertically, left arm extended forwards, between the legs and the right arm, holding a bead-necklace with counterweight.",Classifier sistrum player,sḫm.y(t),B57,B57,,unikemet
U13736,U+13736,𓜶,B-08-013,B045C,C,"Woman, standing, with long hair, both arms forward, hands at the height of the forehead, nearly horizontal, hands as if clapping.",Classifier female rhythm maker,dḫn.t,,,,unikemet
U13737,U+13737,𓜷,B-09-003,HJ B002A,C,"Woman, pregnant, seated, both knees down, no arms visible.",Classifier birth,msꞽ,B2A,B2A,,unikemet
U13738,U+13738,𓜸,B-09-005,HJ B003A,C,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with three lines coming from the legs, central one vertical, the outer two curving from the same point as the central line.",Classifier nurse,ꜣṯ.(y)t,B3A,B3A,,unikemet
U13739,U+13739,𓜹,B-09-006,HJ B003B,C,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with four vertical lines coming from the legs.","Logogram (to birth, to bring forth)",msꞽ,B3B,B3B,,unikemet
U1373A,U+1373A,𓜺,B-09-007,B003F,C,"Woman, seated, both knees down, wearing a fillet with uraeus on her head, without arms, with four vertical lines coming from the legs.",Classifier birth,msꞽ,,,,unikemet
U1373B,U+1373B,𓜻,B-09-008,B003G,C,"Woman, seated, both knees down, wearing a fillet with uraeus on her head, arms hanging on either side of the body, with multiple backwards angled lines below the legs.",Classifier birth,msꞽ,,,,unikemet
U1373C,U+1373C,𓜼,B-09-013,B003H,C,"Woman, pregnant, seated, both knees down, with a hairlock coming from either side of the head, arms hanging on either side of the body, with the head and arms of a child coming from the legs.",Classifier birth,msꞽ,,,,unikemet
U1373D,U+1373D,𓜽,B-09-015,HJ B005D,C,"Woman, seated, both knees down, both arms forward, hands in front of the belly, holding a child, seated on the arms of the woman, facing towards her, both arms beside the body.",Classifier nurse,ḫnm.t,B5D,B5D,"54,9",unikemet
U1373E,U+1373E,𓜾,B-09-017,B005G,,,,,B5A,B5A,"54,10",unikemet
U1373F,U+1373F,𓜿,B-09-018,HJ B005B,C,"Woman, seated, both knees down wearing a red crown (S3), nursing a child, seated on her lap, left arm forward, hand over the chest of the woman, right arm hanging beside the body; right arm forward, embracing/holding the child, left arm over the chest.",Logogram (nurse),ḫnm.t,B5B,B5B,"54,11",unikemet
U13740,U+13740,𓝀,B-09-019,HJ B005C,C,"Woman, seated, both knees down wearing a white crown (S1), nursing a child, seated on her lap, left arm forward, hand over the chest of the woman, right arm hanging beside the body; right arm forward, embracing/holding the child, left arm over the chest.",Logogram (nurse),ḫnm.t,B5C,B5C,"54,12",unikemet
U13741,U+13741,𓝁,B-09-021,HJ B006C,,,,,B6C,B6C,,unikemet
U13742,U+13742,𓝂,B-09-022,HJ B006A,C,"Woman, seated on nothing, with a child on her lap, facing her, both arms down; both arms forward, right arm behind the child, left arm in front of the child.","Classifier nursing, rearing",rnn,B6A,B6A,"54,14",unikemet
U13743,U+13743,𓝃,B-09-023,HJ B006B,C,"Woman, seated on a chair, both arms forward, holding a child, seated, both arms at either side of the body.","Classifier nursing, rearing",rnn,B6B,B6B,,unikemet
U13744,U+13744,𓝄,B-10-003,B037A,C,"Woman, bent backwards, facing up, arms and feet on the ground, hair hanging downwards.",classifier (dancer/acrobat),ḫb.t,,,,unikemet
U13745,U+13745,𓝅,B-10-004,HJ B036A,C,"Woman, standing, bent forwards, arms extended forwards, hands towards a rectangular object in front of the feet.",Phonemogram,nḏ,B36A,B36A,,unikemet
U13746,U+13746,𓝆,B-10-006,HJ B067,,,,,B67,B67,,unikemet
U13747,U+13747,𓝇,B-10-007,B067A,C,"Woman, standing, bent forwards, back horizontal, hair hanging forwards in front of the face, arms extended towards the ground, hands horizontal at the height of the middle of the shins, hand palms downwards.",Classifier moving back and forth,wnwn,,,,unikemet
U13748,U+13748,𓝈,B-10-008,HJ B085,C,"Woman, seated, with both knees down, with the head and arms of a child coming from the legs, both arms raised at either side of the body, hands at the height of the top of the head, supporting a duck or goose (G38-G39) on each hand, looking outwards, with a half round loaf of bread (X1) over the shoulder of each bird.",Phonemogram (cryptography),st.y-m,B85,B85,,unikemet
U13749,U+13749,𓝉,C-01-002,HJ C118A,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long hair/wig, with a crescent moon with the entire moon disk (N62) on its head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (in combination with \C268B),rꜥ-nb,C118A,C118A,"55,2",unikemet
U1374A,U+1374A,𓝊,C-01-003,HJ C118,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long hair/wig, with a crescent moon with the entire moon disk (N62) on its head.",Classifier moon,ꞽꜥḥ,C118,C118,,unikemet
U1374B,U+1374B,𓝋,C-01-004,C118B,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long hair/wig, with a crescent moon with the entire moon disk (N62) on its head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward.","Classifier moon/light (together with Re, representing the sun and the moon as the two lights)",ḥꜣy.ty,,,,unikemet
U1374C,U+1374C,𓝌,C-01-007,C119X,,,,,,C119,"55,6",unikemet
U1374D,U+1374D,𓝍,C-01-008,HJ C119B,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, with a uraeus on his forehead, with a star upon his head (N14).",Logogram (Geb),gbb,C119B,C119B,,unikemet
U1374E,U+1374E,𓝎,C-01-009,C119,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, with a uraeus on his forehead, with a star upon his head (N14), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (Geb),gbb,C119,,"55,4",unikemet
U1374F,U+1374F,𓝏,C-01-011,HJ C121,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, with an eye (D4) upon his head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (the earthmaker (divinity)),ꞽr-tꜣ,C121,C121,"55,8",unikemet
U13750,U+13750,𓝐,C-01-012,HJ C122,,,,,C122,C122,"55,9",unikemet
U13751,U+13751,𓝑,C-01-013,HJ C123,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, with an elephant tusk (F18) upon his head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.","Logogram (the utterance, divinity)",ḥw,C123,C123,"55,10",unikemet
U13752,U+13752,𓝒,C-01-014,C340,C,"God, standing, with long-curved beard and long wig, with an elephant tusk (F18) upon his head, right arm forward, holding a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (S40); left arm hanging beside the body, holding tie or strap, used with sandals (ankh sign S34) at the loop.","Logogram (the utterance, divinity)",ḥw,,,,unikemet
U13753,U+13753,𓝓,C-01-016,C124B,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, with a rectangular piece of cloth, with fringes on one of its short sides (S32) upon his head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (perception/knowledge (divinity)),sꞽꜣ,,,,unikemet
U13754,U+13754,𓝔,C-01-017,C341,C,"God, standing, with long-curved beard and long wig, with a rectangular piece of cloth, with fringes on one of its short sides (S32) upon his head, right arm forward, holding a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (S40); left arm hanging beside the body, holding tie or strap, used with sandals (ankh sign S34) at the loop.",Logogram (perception/knowledge (divinity)),sꞽꜣ,,,,unikemet
U13755,U+13755,𓝕,C-01-020,HJ C125A,,,,,C125A,C125A,"55,13",unikemet
U13756,U+13756,𓝖,C-01-022,HJ C126,,,,,C126,C126,"56,2",unikemet
U13757,U+13757,𓝗,C-01-025,HJ C127,,,,,C127,C127,"56,4",unikemet
U13758,U+13758,𓝘,C-01-029,C129B,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, wearing the hmhm crown (S61), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.","Logogram (first person singular, for Harsomtus)",ꞽ,,,,unikemet
U13759,U+13759,𓝙,C-01-032,HJ C132,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, with a dung beetle (scarab (L1)) upon his head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Classifier Khepri (divinity),,C132,C132,"56,10",unikemet
U1375A,U+1375A,𓝚,C-01-033,HJ C133,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, with two arms, raised, with the palms of the hands towards each other (D28) upon his head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (spirit),kꜣ,C133,C133,"56,11",unikemet
U1375B,U+1375B,𓝛,C-01-037,HJ C136,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, with the hindquarters of a seated lion or leopard (F22) on its head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (god),nṯr,C136,C136,"56,14",unikemet
U1375C,U+1375C,𓝜,C-01-038,HJ C262A,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, with a cobra in repose (Naja haje (I10)) upon his head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Classifier divinity (Chay),šꜣy,C262A,C262A,,unikemet
