ID,URN,Passage_SHA256,Cantiga_ID,Line,Stanza,Number_Gap,Primary_Text
l-1551-12,urn:nabu:cantigas:1551:12,f70173a8cfa9d59b68ac5906c4125955731c44f9b58df32fd1fb94318caaf7da,c-1551,12,3,,"cabritos, cachaç'e ansarinhos"
l-1551-13,urn:nabu:cantigas:1551:13,d84a13114246885f616f99de2cdcdf372b61e53e5e7fc97d97ca47e431a3de35,c-1551,13,3,,mais nom cômiam galinhas na guerra;
l-1551-14,urn:nabu:cantigas:1551:14,5fd06f9721b66f3cfc5606e31facd0b07f5b74d746411f6f6a3c1f7b3558944e,c-1551,14,3,,ca diz que lhi dizem os devinhos
l-1551-15,urn:nabu:cantigas:1551:15,8cadc0983568da81665aa43ff89cf202768a02be904499796f0113db4c3df04a,c-1551,15,3,,que será perdimento da terra.
l-1552-1,urn:nabu:cantigas:1552:1,67bbc0508b4d10d3c85e9068be7cf2ef795786e53ee71647f7c9b3c27caa35bd,c-1552,1,1,,"Mia senhor, já eu morrerei"
l-1552-2,urn:nabu:cantigas:1552:2,47e25a60cd90ff4a1bc55be1fbe619b19be038a1dcd9f633a17f9a92a52c0502,c-1552,2,1,,"em vosso serviç', e por en"
l-1552-3,urn:nabu:cantigas:1552:3,36a2e073080f76b9d7a9bb980d802f5989ecec46a4daf2ebd66b75509f11be72,c-1552,3,1,,mi nom é com mia morte bem:
l-1552-4,urn:nabu:cantigas:1552:4,2fadadf15af303aecfa6b1d2b24c45fb9f07b1f975e1260aa8f6be01ed483e52,c-1552,4,1,,porque vos nom ficou de mi
l-1552-5,urn:nabu:cantigas:1552:5,5dfdede1233fdb7d5eeb564d369b4d3dc816e0490c84acb3d74423bdb657ffaf,c-1552,5,1,,"filho, por quanto vos servi,"
l-1552-6,urn:nabu:cantigas:1552:6,ee09df7f57da3d2c84da85a2c1b7a7498443fba4737b539a59006ac61d8a85b1,c-1552,6,1,,que mi criássedes por en.
l-1552-7,urn:nabu:cantigas:1552:7,a98d108d2bb7528dec54321892d8acdd3afac25bc639b222a716a9359ff5cdf6,c-1552,7,2,,Sempr'eu mia mort'adevinhei:
l-1552-8,urn:nabu:cantigas:1552:8,4363b5750efa4ab711be74c551b54e044652dd85b6ed0c8c2f9abe244cbabf4b,c-1552,8,2,,que havia a morrer por vós
l-1552-9,urn:nabu:cantigas:1552:9,5a3f13af70ff3aa51a91122fb92a726281e32aa3a2f31d535a97bdb23d4901ce,c-1552,9,2,,- e a morrer havemos nós;
l-1552-10,urn:nabu:cantigas:1552:10,e52d2bf81741fb96693e715c97313356349becc47cf1cea446afe41716a87b2f,c-1552,10,2,,mais por que nom fiz - e m'end'é mal -
l-1552-11,urn:nabu:cantigas:1552:11,c23fc56bb039a53b566aec65035ef1796ff637106fc1d8ab82edfebe67e31a16,c-1552,11,2,,um filho vosso natural
l-1552-12,urn:nabu:cantigas:1552:12,14fd7da1aca21754cc98c0cda16022e08a039aabc59de089dfc8b11546f248b0,c-1552,12,2,,que achasse conselh'em vós?
l-1552-13,urn:nabu:cantigas:1552:13,524c66e334a5a5a694d7759bb903d0b823cbc4cfd7394be56fb34a9fff0cd755,c-1552,13,3,,Filh'a que leixass'o que hei
l-1552-14,urn:nabu:cantigas:1552:14,906de9b5860a50de1cb4a5737b5049efee4751e17a6958b9838763711de232a2,c-1552,14,3,,"quisera-m'eu, senhor, fazer,"
l-1552-15,urn:nabu:cantigas:1552:15,09a5f7d1abf96fb0f80be7554b95bf5c9b9b946c1a1304ea8a950384303e01ad,c-1552,15,3,,"que fosse voss', e defender-"
l-1552-16,urn:nabu:cantigas:1552:16,f8164375b743f2fabeda085c3ffdbce5fadb5fbe3ca69a2e342d2ad9d61854bc,c-1552,16,3,,lo-íades por meu amor;
l-1552-17,urn:nabu:cantigas:1552:17,c8c097758e8741e5ea2555be7f5838eca2cb30fc4ef0290f43c541f0ae77ce36,c-1552,17,3,,"ca, pois eu por vós morto for,"
l-1552-18,urn:nabu:cantigas:1552:18,1f11a481a526bebb7486474a2ab7f98b04b3a3dec05c6f820fe38b706b3a3e92,c-1552,18,3,,que bem mi podedes fazer?
l-1553-1,urn:nabu:cantigas:1553:1,8a9dfd25667bbb1f42806ad83237a6fd205402b36de2a6b56b1af4dcc7e4ac09,c-1553,1,1,,Quem nunca sal da pousada
l-1553-2,urn:nabu:cantigas:1553:2,f8d080fb251761261a445fbf728f6a5fcd075c1057157a5559a33558f141b812,c-1553,2,1,,pera ir em cavalgada
l-1553-3,urn:nabu:cantigas:1553:3,8e1d28d8e807d5c32642293a917c2837ac8f4fdbd47067e2c7984f8ceec6b4a6,c-1553,3,1,,e quitam come mesnada
l-1553-4,urn:nabu:cantigas:1553:4,fd8a5f5894a1baf6e7bbed0df68b83b90e98b040f394808ee57ce6f55a1bec35,c-1553,4,1,,"del-rei ou de Dom Fernando,"
l-1553-5,urn:nabu:cantigas:1553:5,3daf6d41a05530c5788965bf449c9826e4e650479f78428757810d6641aacaa2,c-1553,5,1,,"ai Deus, aquesta soldada"
l-1553-6,urn:nabu:cantigas:1553:6,9221129c5181113f24ba8ae68428b6827c7bc1e32525983d6f3748b70a11cb18,c-1553,6,1,,se lha dam por aguilhando?
l-1553-7,urn:nabu:cantigas:1553:7,bda08e3f8a2c1953fa57c5263ff154af53cace320e5feea2ef86eb03db3ec9a6,c-1553,7,2,,Quem nom tem aqui cavalo
l-1553-8,urn:nabu:cantigas:1553:8,1dd8b8d2ffa7f925dfab14f7cba99cb5ee8d59276b0742b37bc6b194baf6b94e,c-1553,8,2,,"nem alhur, nem quer comprá-lo,"
l-1553-9,urn:nabu:cantigas:1553:9,eedd1062a641c76c5dda21d0b41c7a3ceb4757a8bfded6ffeb35fb6e25c47411,c-1553,9,2,,e quitam come vassalo
l-1553-10,urn:nabu:cantigas:1553:10,9eae2e83c19e769bddc2067edf7710c7f60c9d64e8b91346413ce89bc4b8ed17,c-1553,10,2,,"del-rei ou de Dom Fernando,"
l-1553-11,urn:nabu:cantigas:1553:11,1467a74089679506e68aebd9b6d09ae3fb30345b27dc9a1a885b413b56d347f6,c-1553,11,2,,"ai Deus, pois mandam quitá-lo,"
l-1553-12,urn:nabu:cantigas:1553:12,884af8cef942b5c6233329dc711f3de12cf63509f1e37bbcf3c25368168f6ec1,c-1553,12,2,,se lha dam por aguilhando?
l-1553-13,urn:nabu:cantigas:1553:13,7ce3d85856baf49ba6ef743a69a980b7a037f0b33807b8ba1721b7893e69546f,c-1553,13,3,,Quem nunca troux'escudeiro
l-1553-14,urn:nabu:cantigas:1553:14,5d20488f23dee74b3814750df1a2909b014fb4fd04c3f43160beec6f348cd5d0,c-1553,14,3,,"nem comprou armas d'armeiro,"
l-1553-15,urn:nabu:cantigas:1553:15,5e8ed5a9cc30a67611725a315196da72c8b0635b2f710acc57c6fbbe9949b8ac,c-1553,15,3,,quitam come cavaleiro
l-1553-16,urn:nabu:cantigas:1553:16,95fa8d4d6ed4b23ecf296589f825406e190532ec54d8b5352697b1e0de00caff,c-1553,16,3,,del-rei ou de Dom Fernando?!
l-1553-17,urn:nabu:cantigas:1553:17,e6ca6b7cfb151adf7cb5493f2c4cbc5af1644cc23027f78f7349a15839a611d6,c-1553,17,3,,"Ai Deus, tanto bom dinheiro"
