id	title	title_source	fclasses	start	end	lon	lat	matches
geonames:2262870	Sobral do Campo	attested	S					""
geonames:2262872	Sobral da Adiça	attested	S					""
geonames:2262912	Sintra	attested	S					""
geonames:2263087	Selmes	attested	S					""
geonames:2263152	Sarzedas	attested	S	1	100			""
geonames:2263209	São Simão de Litém	attested	S					""
geonames:2263385	São Bento do Cortiço	attested	S	1	100			""
geonames:2263833	Rio de Couros	attested	S					""
geonames:2263974	Reguengos de Monsaraz	attested	S					""
geonames:2264351	Póvoa e Meadas	attested	S	31	70			""
geonames:2265464	Oeiras	attested	S					""
geonames:2265465	Odrinhas	attested	S	71	130			""
geonames:2265472	Odemira	attested	S					""
geonames:2265530	Ninho do Açor	attested	S					""
geonames:2265672	Mouriscas	attested	S	1	100			""
geonames:2265844	Monte Real	attested	S					""
geonames:2266241	Montalvão	attested	S					""
geonames:2266268	Monchique	attested	S					""
geonames:2266275	Mombeja	attested	S	71	130			""
geonames:2266597	Matacães	attested	S	1	200			""
geonames:2266759	Maranhão	attested	S	31	70			""
geonames:2266766	Manique de Baixo	attested	S					""
geonames:2266865	Mafra	attested	S	171	200			""
geonames:2267266	Ladoeiro	attested	S	1	50			""
geonames:2267279	Juromenha	attested	S	1	100			""
geonames:2267377	Janas	attested	S					""
geonames:2267417	Igrejinha	attested	S	1	100			""
geonames:2267426	(Civitas Igaeditanorum)	attested	S	-16	130			""
geonames:2267699	Garvão	attested	S	1	100			""
geonames:2267864	Freixial do Campo	attested	S	1	50			""
geonames:2267962	Fortios	attested	S					""
geonames:2268251	Ferreira do Zêzere	attested	S	71	130			""
geonames:2268339	Ossonoba	attested	S	251	300			""
geonames:2268385	Faião	attested	S					""
geonames:2268436	Estoril	attested	S					""
geonames:2268540	Escalos de Cima	attested	S	1	100			""
geonames:2268563	Ericeira	attested	S	151	250			""
geonames:2268587	Enguias	attested	S	101	200			""
geonames:2268615	Elvas	attested	S					""
geonames:2269142	Colares	attested	S					""
geonames:2269508	Castelo de Vide	attested	S					""
geonames:2270228	Caparide	attested	S	1	100			""
geonames:2270336	Campo Maior	attested	S	1	300			""
geonames:2270676	Brinches	attested	S					""
geonames:2270927	Beringel	attested	S					""
geonames:2270936	Bencatel	attested	S					""
geonames:2271142	Amieira do Tejo	attested	S	1	100			""
geonames:2271187	Baleizão	attested	S	-30	200			""
geonames:2271327	Azeitada	attested	S					""
geonames:2271488	Arraiolos	attested	S					""
geonames:2271572	Quinta da Areia	attested	S	1	100			""
geonames:2271999	Alfundão	attested	S					""
geonames:2272013	Alfeizerão	attested	S					""
geonames:2272141	Alcoitão	attested	S					""
geonames:2272212	Alcácer do Sal	attested	S	1	150			""
geonames:2272215	Alcabideche	attested	S	1	200			""
geonames:2272430	Assafora	attested	S	1	100			""
geonames:2272447	Abrantes	attested	S	1	100			""
geonames:2464041	Zaghouan	attested	S					""
geonames:2464154	Oued Sarrath	attested	S					""
geonames:2464427	Touza	attested	S					""
geonames:2464802	Takroûna	attested	S					""
geonames:2464855	Thibursicum Bare	attested	S					""
geonames:2464858	Thuburbo Minus	attested	S					""
geonames:2465030	Siliana	attested	S	201	300			""
geonames:2466418	Sidi Ali Ben Nasr Allah	attested	S	301	325			""
geonames:2466479	Sidi Ali el Bahloul	attested	S					""
geonames:2466879	Chaouat	attested	S					""
geonames:2466936	Djebel Oust	attested	S	101				""
geonames:2467077	Chebika	attested	S					""
geonames:2468106	Ksar Hellal	attested	S	161	169			""
geonames:2469140	Msaken	attested	S					""
geonames:2469413	Madjouba	attested	S					""
geonames:2469571	Lamta	attested	S					""
geonames:2469592	Lalla Mabrouka	attested	S					""
geonames:2469698	Kroussia	attested	S					""
geonames:2470260	Djebeliana	attested	S					""
geonames:2470384	Houmt Souk	attested	S					""
geonames:2470800	Pichon	attested	S	216				""
geonames:2471516	Douar Bayoud	attested	S	209	211			""
geonames:2471828	Crétéville	attested	S					""
geonames:2471915	Bou Arkoub	attested	S					""
geonames:2472047	Bordj el Amri	attested	S					""
geonames:2472256	Bou Rebia	attested	S					""
geonames:2472261	Bū ‘Arādah	attested	S					""
geonames:2472753	Belli	attested	S					""
geonames:2473449	Kairouan	attested	S					""
geonames:2473513	Maknassy	attested	S					""
geonames:2473572	Mahdia	attested	S					""
geonames:2473669	El Erg	attested	S	518				""
geonames:2475806	Tixter	attested	S					""
geonames:2476409	Thamugadi	attested	S	140	141			""
geonames:2476897	Tiaret	attested	S					""
geonames:2477148	Cartennae	attested	S					""
geonames:2477316	Thuda	attested	S					""
geonames:2477532	Tazouguert	attested	S					""
geonames:2477933	Thagora	attested	S	139				""
geonames:2478043	Saint-Maur	attested	S					""
geonames:2480367	Palissy	attested	S					""
geonames:2480395	Sidi Hosni	attested	S					""
geonames:2481136	Caputtasaccora	attested	S					""
geonames:2482399	Usinaza	attested	S	204				""
geonames:2482447	Pascal	attested	S					""
geonames:2484359	Ourlal	attested	S					""
geonames:2484620	Oum el Bouaghi	attested	S					""
geonames:2485048	Ouled Agla	attested	S					""
geonames:2485661	Oued Athmenia	attested	S					""
geonames:2486265	Oasis Nigrensium maiorum	attested	S	105	174			""
geonames:2486299	Nechmeya	attested	S					""
geonames:2486505	Naciria	attested	S					""
geonames:2488865	Mechtras	attested	S	241				""
geonames:2489942	M'Chira	attested	S	240				""
geonames:2491889	Mascula	attested	S	100	378			""
geonames:2492113	Nicivibus - Thubunae, inter	attested	S					""
geonames:2494534	Hammam Sidi el Hadj	attested	S					""
geonames:2494545	Hammam Guergour	attested	S					""
geonames:2494732	Hamala	attested	S					""
geonames:2495671	Guellal	attested	S					""
geonames:2496150	Galbois	attested	S					""
geonames:2498392	Saint-Arnaud	attested	S					""
geonames:2499197	Doucen	attested	S					""
geonames:2499846	Cap Djinet	attested	S					""
geonames:2499906	Djemorah	attested	S					""
geonames:2500193	Djebel Onk	attested	S					""
geonames:2500583	Dellys	attested	S	184	200			""
geonames:2501371	Herbillon	attested	S					""
geonames:2501404	Cheria	attested	S	101	300			""
geonames:2501440	Caesarea	attested	S	1	300			""
geonames:2502438	Bourkika	attested	S					""
geonames:2502959	Bouhira	attested	S					""
geonames:2503364	Duvivier	attested	S					""
geonames:2505308	Bekkaria	attested	S					""
geonames:2505572	Batna	attested	S					""
geonames:2505815	Baghaï	attested	S					""
geonames:2506404	Arris	attested	S					""
geonames:2507225	Amentane	attested	S					""
geonames:2508431	Ahmed Rachedi	attested	S					""
geonames:2508737	Aflou	attested	S	174				""
geonames:2509305	Iliberri Florentia, bei	attested	S	201	230			""
geonames:2509463	Villena	attested	S					""
geonames:2509467	Villaverde y Pasaconsol	attested	S	101	200			""
geonames:2509472	Villavaliente	attested	S					""
geonames:2509479	Villaseca de la Sagra	attested	S					""
geonames:2509487	Villarrubia de los Ojos	attested	S	101	200			""
geonames:2509570	Villaminaya	attested	S	1	100			""
geonames:2509572	Villamesías	attested	S	1	200			""
geonames:2509588	Villajoyosa	attested	S	1	230			""
geonames:2509598	Villafranca de los Barros	attested	S					""
geonames:2509603	Villa del Río	attested	S	251	300			""
geonames:2509604	Villa del Rey	attested	S	1	300			""
geonames:2509615	Vilches	attested	S					""
geonames:2509707	Ventas de Zafarraya	attested	S	171	230			""
geonames:2509727	Venta de los Santos	attested	S	101	200			""
geonames:2509768	Vélez Rubio	attested	S					""
geonames:2509836	Valverde de Jucár	attested	S	1	100			""
geonames:2509934	Vallada	attested	S	71	130			""
geonames:2509937	Valhermoso de la Fuente	attested	S	101	200			""
geonames:2509961	Valdeverdeja	attested	S					""
geonames:2510007	Valdelacasa de Tajo	attested	S					""
geonames:2510045	Mirobriga Turdulorum, bei	attested	S	73				""
geonames:2510075	Utiel	attested	S					""
geonames:2510102	Ulea	attested	S	32	33			""
geonames:2510106	Uclés	attested	S	235	238			""
geonames:2510224	Totana	attested	S	-8	-7			""
geonames:2510268	Torrequemada	attested	S					""
geonames:2510272	Torreorgaz	attested	S					""
geonames:2510293	Torrejón el Rubio	attested	S	1	100			""
geonames:2510294	Torrejoncillo del Rey	attested	S	101	300			""
geonames:2510394	Tomares	attested	S	131	170			""
geonames:2510601	Tárbena	attested	S	1	100			""
geonames:2510602	Tarazona de la Mancha	attested	S					""
geonames:2510699	Talaván	attested	S					""
geonames:2510839	Solana de los Barros	attested	S					""
geonames:2510864	Mirobriga Turdulorum, bei	attested	S	1	100			""
geonames:2510869	Sinarcas	attested	S					""
geonames:2510936	Serradilla	attested	S					""
geonames:2510967	Segura de Léon	attested	S					""
geonames:2510972	Segorbe	attested	S	1	100			""
geonames:2511071	Santiago del Campo	attested	S					""
geonames:2511106	Santanyí	attested	S	-50	300			""
geonames:2511170	La Rambla, bei	attested	S	101	200			""
geonames:2511474	Salvatierra de Santiago	attested	S					""
geonames:2511475	Salvatierra de los Barros	attested	S					""
geonames:2511695	Rótova	attested	S	1	50			""
geonames:2511905	Retuerta de Bullaque	attested	S	1	100			""
geonames:2511930	Requena	attested	S	1	230			""
geonames:2511947	Reillo	attested	S	1	200			""
geonames:2512169	Puerto Real	attested	S					""
geonames:2512184	Puerto de Santa Cruz	attested	S	1	300			""
geonames:2512269	Mirobriga Turdulorum, bei	attested	S	71	200			""
geonames:2512282	Iliturgicola, aus	attested	S	101	230			""
geonames:2512305	Pozuelo de Calatrava	attested	S					""
geonames:2512369	Porzuna	attested	S					""
geonames:2512451	Poblete	attested	S					""
geonames:2512509	Ilurco, aus	attested	S	71	130			""
geonames:2512581	Illici, bei	attested	S	101	200			""
geonames:2512638	Petra	attested	S	149	180			""
geonames:2512767	Iliberri Florentia, bei	attested	S	101	200			""
geonames:2512812	Sacili Martiale	attested	S	1	30			""
geonames:2512825	Pedreguer	attested	S					""
geonames:2512990	Segida Augurina, bei	attested	S	1	230			""
geonames:2513057	Osa de la Vega	attested	S	151	230			""
geonames:2513069	Oropesa	attested	S					""
geonames:2513076	Orihuela	attested	S	235	330			""
geonames:2513081	Orgaz	attested	S					""
geonames:2513103	Ontur	attested	S					""
geonames:2513124	Edeta sive Liria, bei	attested	S	71	130			""
geonames:2513230	Ilipula	attested	S	101	230			""
geonames:2513296	Navas de San Juán	attested	S	98	138			""
geonames:2513300	Navas de Estena	attested	S	1	50			""
geonames:2513384	Nambroca	attested	S	1	100			""
geonames:2513509	Morón de la Frontera	attested	S	1	50			""
geonames:2513579	Moraleda de Zafayona	attested	S	71	130			""
geonames:2513589	Monturque	attested	S	1	300			""
geonames:2513597	Montizón	attested	S	32	33			""
geonames:2513618	Artigi?, bei	attested	S	1	100			""
geonames:2513649	Montealegre del Castillo	attested	S	134				""
geonames:2513659	Montánchez	attested	S					""
geonames:2513691	Illici, bei	attested	S	1	50			""
geonames:2513803	Mocejón	attested	S					""
geonames:2513857	Ilunum	attested	S	-9				""
geonames:2513893	Miajadas	attested	S					""
geonames:2513962	Medina de las Torres	attested	S					""
geonames:2513983	Mazarrón	attested	S	-10	30			""
geonames:2514185	Ituci Colonia Virtus Iulia?, bei	attested	S					""
geonames:2514216	Manacor	attested	S	101	600			""
geonames:2514225	Malpartida de Plasencia	attested	S					""
geonames:2514227	Malpartida de Cáceres	attested	S	101	200			""
geonames:2514297	Mahora	attested	S					""
geonames:2514316	Contosolia?	attested	S	1	200			""
geonames:2514324	Madroñera	attested	S					""
geonames:2514333	Madrigalejo	attested	S	1	100			""
geonames:2514511	Gemella?, bei	attested	S					""
geonames:2514586	Los Morcillos	attested	S	301	430			""
geonames:2514896	Lopera	attested	S	-50	30			""
geonames:2515058	Liétor	attested	S					""
geonames:2515060	Librilla	attested	S					""
geonames:2515096	Lebrija	attested	S					""
geonames:2515313	Segida Augurina, bei	attested	S	401	450			""
geonames:2515554	Ventippo, bei	attested	S					""
geonames:2515619	La Puebla de Montalbán	attested	S	1	100			""
geonames:2515651	Singilia Barba, aus	attested	S	151	200			""
geonames:2515718	Nava de Ricomalillo	attested	S	1	100			""
geonames:2515815	Municipium Lunense, bei	attested	S	101	200			""
geonames:2515929	La Garrovilla	attested	S					""
geonames:2516049	Coronada	attested	S					""
geonames:2516065	La Codosera	attested	S					""
geonames:2516295	Jorquera	attested	S					""
geonames:2516315	Jimena de la Frontera	attested	S					""
