ID,Language_ID,Lemma,Present,Past,Future,Imperative,Analysis_Source,Comment,Source
v-1ca4876a7454-TDC,xct,བཀྲི,བཀྲི,བཀྲིས,བཀྲི,བཀྲིས,TDC,,tvd
v-1ca4876a7454-PH,xct,བཀྲི,བཀྲི,བཀྲིས,བཀྲི,བཀྲིས,PH,,tvd
v-1ca4876a7454-KN,xct,བཀྲི,བཀྲི,བཀྲིས,བཀྲི,བཀྲིས,KN,,tvd
v-ab16f71ac2b4-TDC,xct,བཀྲེས,བཀྲེས,བཀྲེས,བཀྲེས,,TDC,,tvd
v-ab16f71ac2b4-PH,xct,བཀྲེས,བཀྲེས,བཀྲེས,བཀྲེས,,PH,,tvd
v-3c02a9a5e27d-GT,xct,བཀྲེས,བཀྲེས,བཀྲེས,བཀྲེས,བཀྲེས,GT,,tvd
v-b6b34ebdcaac-PH,xct,རྐམ,རྐམ,བརྐམ,བརྐམ,,PH,,tvd
v-4ee4f33ea50c-GT,xct,རྐམ,རྐམ,བརྐམས,བརྐམ,རྐམས,GT,,tvd
v-088a990b8056-TDC,xct,རྐུ,རྐུ,བརྐུས,བརྐུ,རྐུས,TDC,,tvd
v-088a990b8056-PH,xct,རྐུ,རྐུ,བརྐུས,བརྐུ,རྐུས,PH,,tvd
v-088a990b8056-GT,xct,རྐུ,རྐུ,བརྐུས,བརྐུ,རྐུས,GT,,tvd
v-088a990b8056-KN,xct,རྐུ,རྐུ,བརྐུས,བརྐུ,རྐུས,KN,,tvd
v-51aea7292407-TDC,xct,རྐོ,རྐོ,བརྐོས,བརྐོ,རྐོས,TDC,,tvd
v-51aea7292407-PH,xct,རྐོ,རྐོ,བརྐོས,བརྐོ,རྐོས,PH,,tvd
v-51aea7292407-GT,xct,རྐོ,རྐོ,བརྐོས,བརྐོ,རྐོས,GT,,tvd
v-51aea7292407-KN,xct,རྐོ,རྐོ,བརྐོས,བརྐོ,རྐོས,KN,,tvd
v-fa98b922c63f-GT,xct,རྐོན,རྐོན,བརྐོན༼ད༽,བརྐོན,རྐོན༼ད༽,GT,,tvd
v-9799f7ddc3f4-TDC,xct,རྐྱལ,རྐྱལ,རྐྱལ,རྐྱལ,རྐྱོལ,TDC,,tvd
v-9799f7ddc3f4-PH,xct,རྐྱལ,རྐྱལ,རྐྱལ,རྐྱལ,རྐྱོལ,PH,,tvd
v-9799f7ddc3f4-KN,xct,རྐྱལ,རྐྱལ,རྐྱལ,རྐྱལ,རྐྱོལ,KN,,tvd
v-c95888aa93b5-TDC,xct,རྐྱོང,རྐྱོང,བརྐྱངས,བརྐྱང,རྐྱོངས,TDC,,tvd
v-c95888aa93b5-PH,xct,རྐྱོང,རྐྱོང,བརྐྱངས,བརྐྱང,རྐྱོངས,PH,,tvd
v-c95888aa93b5-GT,xct,རྐྱོང,རྐྱོང,བརྐྱངས,བརྐྱང,རྐྱོངས,GT,,tvd
v-c95888aa93b5-KN,xct,རྐྱོང,རྐྱོང,བརྐྱངས,བརྐྱང,རྐྱོངས,KN,,tvd
v-2bfb93c4347a-PH,xct,ལྐུག,ལྐུག,ལྐུགས,ལྐུག,ལྐུགས,PH,,tvd
v-2bfb93c4347a-GT,xct,ལྐུག,ལྐུག,ལྐུགས,ལྐུག,ལྐུགས,GT,,tvd
v-524d80410517-TDC,xct,ལྐུགས,ལྐུགས,ལྐུགས,ལྐུགས,,TDC,,tvd
v-af20f5dc35dc-GT,xct,སྐམ,སྐམ,བསྐམས,བསྐམ,སྐམས,GT,,tvd
v-83c4a08d5853-GT,xct,སྐུ༼སྐུད༽,སྐུ༼སྐུད༽,བསྐུས,བསྐུ,སྐུས,GT,,tvd
