ID,Old_Form,New_Form,Lane,Source
u4e05-u4e0b,丅,下,kanjidic,kanjidic2
u4e17-u4e16,丗,世,kanjidic-merge,kanjidic2
u534b-u4e16,卋,世,kanjidic-merge,kanjidic2
u5775-u4e18,坵,丘,kanjidic,kanjidic2
u4e24-u4e21,两,両,kanjidic-merge,kanjidic2
u5169-u4e21,兩,両,kanjidic-merge,kanjidic2
u50a1-u4e26,傡,並,kanjidic-merge,kanjidic2
u7add-u4e26,竝,並,kanjidic-merge,kanjidic2
u6909-u4e57,椉,乗,kanjidic,kanjidic2
u4e82-u4e71,亂,乱,kanjidic,kanjidic2
u4e79-u4e7e,乹,乾,kanjidic,kanjidic2
u9f9c-u4e80,龜,亀,kanjidic,kanjidic2
u8c6b-u4e88,豫,予,kanjidic,kanjidic2
u4e8a-u4e8b,亊,事,kanjidic-merge,kanjidic2
u53d3-u4e8b,叓,事,kanjidic-merge,kanjidic2
u5f0d-u4e8c,弍,二,kanjidic,kanjidic2
u5166-u4ea1,兦,亡,kanjidic,kanjidic2
u4eaf-u4eab,亯,享,kanjidic,kanjidic2
u4eb0-u4eac,亰,京,kanjidic,kanjidic2
u5047-u4eee,假,仮,kanjidic,kanjidic2
u50a0-u4f10,傠,伐,kanjidic-merge,kanjidic2
u726b-u4f10,牫,伐,kanjidic-merge,kanjidic2
u6703-u4f1a,會,会,kanjidic,kanjidic2
u4f40-u4f3c,佀,似,kanjidic,kanjidic2
u4efe-u4f4e,仾,低,kanjidic,kanjidic2
u8eb0-u4f53,躰,体,kanjidic-merge,kanjidic2
u8ec6-u4f53,軆,体,kanjidic-merge,kanjidic2
u9ab5-u4f53,骵,体,kanjidic-merge,kanjidic2
u9ad4-u4f53,體,体,kanjidic-merge,kanjidic2
u9918-u4f59,餘,余,kanjidic,kanjidic2
u5002-u4f75,倂,併,kanjidic,kanjidic2
u77e6-u4faf,矦,侯,kanjidic,kanjidic2
u8a2b-u4fe1,訫,信,kanjidic,kanjidic2
u4fe2-u4fee,俢,修,kanjidic,kanjidic2
u5fa4-u5065,徤,健,kanjidic,kanjidic2
u4ed0-u5098,仐,傘,kanjidic,kanjidic2
u50c3-u5099,僃,備,kanjidic,kanjidic2
u4ec2-u50cd,仂,働,kanjidic,kanjidic2
u706e-u5149,灮,光,kanjidic-merge,kanjidic2
u7097-u5149,炗,光,kanjidic-merge,kanjidic2
u9ee8-u515a,黨,党,kanjidic,kanjidic2
u518c-u518a,册,冊,kanjidic,kanjidic2
u5190-u5192,冐,冒,kanjidic,kanjidic2
u51a9-u5199,冩,写,kanjidic-merge,kanjidic2
u5beb-u5199,寫,写,kanjidic-merge,kanjidic2
u6dd2-u51c4,淒,凄,kanjidic,kanjidic2
u51e2-u51e1,凢,凡,kanjidic,kanjidic2
u8655-u51e6,處,処,kanjidic,kanjidic2
u91d6-u5200,釖,刀,kanjidic,kanjidic2
