ID,Char,Language_ID,Count,Source
first1k-greek-grc-U03B7,η,grc,219008,first1k-greek
first1k-greek-eng-U03B8,θ,eng,16,first1k-greek
first1k-greek-grc-U03B8,θ,grc,178954,first1k-greek
first1k-greek-eng-U03B9,ι,eng,130,first1k-greek
first1k-greek-grc-U03B9,ι,grc,240680,first1k-greek
first1k-greek-eng-U03BA,κ,eng,21,first1k-greek
first1k-greek-grc-U03BA,κ,grc,218244,first1k-greek
first1k-greek-eng-U03BB,λ,eng,26,first1k-greek
first1k-greek-grc-U03BB,λ,grc,209516,first1k-greek
first1k-greek-eng-U03BC,μ,eng,58,first1k-greek
first1k-greek-grc-U03BC,μ,grc,212998,first1k-greek
first1k-greek-eng-U03BD,ν,eng,108,first1k-greek
first1k-greek-grc-U03BD,ν,grc,237372,first1k-greek
first1k-greek-eng-U03BE,ξ,eng,6,first1k-greek
first1k-greek-grc-U03BE,ξ,grc,103076,first1k-greek
first1k-greek-eng-U03BF,ο,eng,282,first1k-greek
first1k-greek-grc-U03BF,ο,grc,239759,first1k-greek
first1k-greek-eng-U03C0,π,eng,26,first1k-greek
first1k-greek-grc-U03C0,π,grc,218033,first1k-greek
first1k-greek-eng-U03C1,ρ,eng,146,first1k-greek
first1k-greek-grc-U03C1,ρ,grc,226535,first1k-greek
first1k-greek-eng-U03C2,ς,eng,49,first1k-greek
first1k-greek-eng-U03C3,σ,eng,30,first1k-greek
first1k-greek-grc-U03C3,σ,grc,209629,first1k-greek
first1k-greek-eng-U03C4,τ,eng,46,first1k-greek
first1k-greek-grc-U03C4,τ,grc,234668,first1k-greek
first1k-greek-eng-U03C5,υ,eng,36,first1k-greek
first1k-greek-grc-U03C5,υ,grc,226585,first1k-greek
first1k-greek-eng-U03C6,φ,eng,3,first1k-greek
first1k-greek-grc-U03C6,φ,grc,154018,first1k-greek
first1k-greek-eng-U03C7,χ,eng,12,first1k-greek
first1k-greek-grc-U03C7,χ,grc,153203,first1k-greek
first1k-greek-eng-U03C8,ψ,eng,1,first1k-greek
first1k-greek-grc-U03C8,ψ,grc,56136,first1k-greek
first1k-greek-eng-U03C9,ω,eng,23,first1k-greek
first1k-greek-grc-U03C9,ω,grc,210986,first1k-greek
first1k-greek-grc-U03D0,ϐ,grc,7,first1k-greek
first1k-greek-grc-U03D6,ϖ,grc,1,first1k-greek
first1k-greek-grc-U03D9,ϙ,grc,17,first1k-greek
first1k-greek-grc-U03DB,ϛ,grc,1369,first1k-greek
first1k-greek-grc-U03DD,ϝ,grc,45,first1k-greek
first1k-greek-grc-U03DF,ϟ,grc,62,first1k-greek
first1k-greek-grc-U03E1,ϡ,grc,119,first1k-greek
first1k-greek-grc-U03E5,ϥ,grc,26,first1k-greek
first1k-greek-eng-U03F0,ϰ,eng,2,first1k-greek
first1k-greek-grc-U03F2,ϲ,grc,30219,first1k-greek
first1k-greek-eng-U0435,е,eng,1,first1k-greek
first1k-greek-grc-U0437,з,grc,1,first1k-greek
first1k-greek-grc-U0441,с,grc,1,first1k-greek
first1k-greek-grc-U0481,ҁ,grc,12,first1k-greek
first1k-greek-grc-U048F,ҏ,grc,1,first1k-greek
first1k-greek-grc-U04C4,ӄ,grc,1,first1k-greek
first1k-greek-grc-U04D5,ӕ,grc,2,first1k-greek
first1k-greek-grc-U05DC,ל,grc,1,first1k-greek
first1k-greek-grc-U070E,܎,grc,1,first1k-greek
first1k-greek-eng-U0772,ݲ,eng,1,first1k-greek
first1k-greek-grc-U0772,ݲ,grc,200,first1k-greek
first1k-greek-grc-U178F,ត,grc,1,first1k-greek
first1k-greek-grc-U17A0,ហ,grc,1,first1k-greek
first1k-greek-grc-U17B2,ឲ,grc,1,first1k-greek
first1k-greek-grc-U17B6,ា,grc,1,first1k-greek
first1k-greek-grc-U17C1,េ,grc,1,first1k-greek
first1k-greek-grc-U1D43,ᵃ,grc,79,first1k-greek
first1k-greek-grc-U1D45,ᵅ,grc,6,first1k-greek
first1k-greek-grc-U1D47,ᵇ,grc,62,first1k-greek
first1k-greek-grc-U1D48,ᵈ,grc,15,first1k-greek
first1k-greek-grc-U1D49,ᵉ,grc,13,first1k-greek
first1k-greek-grc-U1D4A,ᵊ,grc,1,first1k-greek
first1k-greek-grc-U1D4D,ᵍ,grc,10,first1k-greek
first1k-greek-grc-U1D4F,ᵏ,grc,3,first1k-greek
first1k-greek-grc-U1D50,ᵐ,grc,3,first1k-greek
first1k-greek-grc-U1D52,ᵒ,grc,3,first1k-greek
first1k-greek-grc-U1D56,ᵖ,grc,3,first1k-greek
first1k-greek-grc-U1D57,ᵗ,grc,2,first1k-greek
first1k-greek-grc-U1D58,ᵘ,grc,2,first1k-greek
first1k-greek-grc-U1D5B,ᵛ,grc,3,first1k-greek
first1k-greek-grc-U1D5D,ᵝ,grc,3,first1k-greek
first1k-greek-grc-U1D9C,ᶜ,grc,20,first1k-greek
first1k-greek-grc-U1DA0,ᶠ,grc,10,first1k-greek
first1k-greek-grc-U1DA6,ᶦ,grc,1,first1k-greek
first1k-greek-grc-U1DB9,ᶹ,grc,1,first1k-greek
first1k-greek-grc-U1FBD,᾽,grc,5545,first1k-greek
first1k-greek-eng-U1FBF,᾿,eng,8,first1k-greek
first1k-greek-grc-U1FBF,᾿,grc,20471,first1k-greek
first1k-greek-grc-U1FC0,῀,grc,66,first1k-greek
first1k-greek-eng-U1FFE,῾,eng,7,first1k-greek
first1k-greek-grc-U1FFE,῾,grc,1079,first1k-greek
first1k-greek-grc-U200B,​,grc,10,first1k-greek
first1k-greek-grc-U2010,‐,grc,16,first1k-greek
first1k-greek-grc-U2012,‒,grc,1,first1k-greek
first1k-greek-eng-U2013,–,eng,20,first1k-greek
first1k-greek-grc-U2013,–,grc,196,first1k-greek
first1k-greek-eng-U2014,—,eng,481,first1k-greek
first1k-greek-grc-U2014,—,grc,13803,first1k-greek
first1k-greek-grc-U2015,―,grc,148,first1k-greek
first1k-greek-grc-U2016,‖,grc,30,first1k-greek
first1k-greek-eng-U2018,‘,eng,80,first1k-greek
first1k-greek-grc-U2018,‘,grc,3628,first1k-greek
first1k-greek-eng-U2019,’,eng,680,first1k-greek
first1k-greek-grc-U2019,’,grc,54946,first1k-greek
first1k-greek-grc-U201A,‚,grc,181,first1k-greek
first1k-greek-grc-U201B,‛,grc,14,first1k-greek
first1k-greek-eng-U201C,“,eng,136,first1k-greek
first1k-greek-grc-U201C,“,grc,14615,first1k-greek
first1k-greek-eng-U201D,”,eng,398,first1k-greek
first1k-greek-grc-U201D,”,grc,11562,first1k-greek
first1k-greek-grc-U201E,„,grc,2755,first1k-greek
first1k-greek-eng-U201F,‟,eng,284,first1k-greek
first1k-greek-grc-U201F,‟,grc,697,first1k-greek
first1k-greek-eng-U2020,†,eng,3,first1k-greek
first1k-greek-grc-U2020,†,grc,1585,first1k-greek
first1k-greek-eng-U2022,•,eng,3,first1k-greek
first1k-greek-grc-U2022,•,grc,116,first1k-greek
first1k-greek-eng-U2026,…,eng,10,first1k-greek
first1k-greek-grc-U2026,…,grc,2,first1k-greek
first1k-greek-grc-U2032,′,grc,1036,first1k-greek
first1k-greek-grc-U2033,″,grc,59,first1k-greek
first1k-greek-grc-U2035,‵,grc,1,first1k-greek
first1k-greek-eng-U2039,‹,eng,21,first1k-greek
first1k-greek-grc-U2039,‹,grc,144,first1k-greek
first1k-greek-eng-U203A,›,eng,35,first1k-greek
first1k-greek-grc-U203A,›,grc,133,first1k-greek
first1k-greek-grc-U203B,※,grc,5,first1k-greek
first1k-greek-grc-U203E,‾,grc,2,first1k-greek
first1k-greek-grc-U2044,⁄,grc,1,first1k-greek
first1k-greek-grc-U204E,⁎,grc,3,first1k-greek
first1k-greek-grc-U2060,⁠,grc,2,first1k-greek
first1k-greek-grc-U2070,⁰,grc,6,first1k-greek
first1k-greek-grc-U2071,ⁱ,grc,6,first1k-greek
first1k-greek-grc-U2074,⁴,grc,27,first1k-greek
first1k-greek-grc-U2075,⁵,grc,41,first1k-greek
first1k-greek-grc-U2076,⁶,grc,43,first1k-greek
first1k-greek-grc-U2077,⁷,grc,34,first1k-greek
first1k-greek-grc-U2078,⁸,grc,14,first1k-greek
first1k-greek-grc-U2079,⁹,grc,12,first1k-greek
first1k-greek-grc-U207D,⁽,grc,12,first1k-greek
first1k-greek-grc-U207F,ⁿ,grc,3,first1k-greek
first1k-greek-grc-U2084,₄,grc,1,first1k-greek
first1k-greek-grc-U20AC,€,grc,1,first1k-greek
first1k-greek-grc-U2122,™,grc,1,first1k-greek
first1k-greek-grc-U2135,ℵ,grc,3,first1k-greek
first1k-greek-grc-U2170,ⅰ,grc,7,first1k-greek
first1k-greek-grc-U2171,ⅱ,grc,4,first1k-greek
first1k-greek-grc-U2172,ⅲ,grc,2,first1k-greek
first1k-greek-grc-U2173,ⅳ,grc,2,first1k-greek
first1k-greek-grc-U2217,∗,grc,28,first1k-greek
first1k-greek-grc-U221A,√,grc,1,first1k-greek
first1k-greek-grc-U2220,∠,grc,908,first1k-greek
first1k-greek-grc-U2234,∴,grc,1,first1k-greek
first1k-greek-grc-U223C,∼,grc,1,first1k-greek
first1k-greek-grc-U223E,∾,grc,2,first1k-greek
first1k-greek-grc-U228F,⊏,grc,1,first1k-greek
first1k-greek-grc-U2294,⊔,grc,1,first1k-greek
